PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TEST,337,149,0.0738255033557047,0.026845637583892617,0.11409395973154363,0.785234899328859
TEST,343,22,0.09090909090909091,0.0,0.09090909090909091,0.8181818181818182
TEST,345,28,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.7142857142857143
TEST,495,26,0.038461538461538464,0.0,0.038461538461538464,0.9230769230769231
THLEAD,350,268,0.022388059701492536,0.022388059701492536,0.13432835820895522,0.8208955223880597
THLEAD,360,271,0.007380073800738007,0.0,0.12915129151291513,0.8634686346863468
THLEAD,380,261,0.0038314176245210726,0.0,0.1724137931034483,0.8237547892720306
THLEAD,403,265,0.0,0.0037735849056603774,0.1811320754716981,0.8150943396226416
THLEAD,405,255,0.00392156862745098,0.0,0.050980392156862744,0.9450980392156862
THLEAD,406,258,0.0,0.0,0.023255813953488372,0.9767441860465116
THLEAD,407,107,0.04672897196261682,0.028037383177570093,0.09345794392523364,0.8317757009345794
THLEAD,410,425,0.007058823529411765,0.009411764705882352,0.13411764705882354,0.8494117647058823
THLEAD,420,259,0.0,0.0,0.07722007722007722,0.9227799227799228
THLEAD,430,15,0.0,0.0,0.0,1.0
THLEAD,460,266,0.0,0.0,0.13909774436090225,0.8609022556390977
THLEAD,480,266,0.0037593984962406013,0.0037593984962406013,0.041353383458646614,0.9511278195488722
TIAS,299,41,0.04878048780487805,0.04878048780487805,0.0,0.9024390243902439
TIAS,396,20,0.0,0.0,0.25,0.75
TIAS,490,16,0.0,0.0625,0.0,0.9375
TIAS,497,10,0.1,0.0,0.2,0.7
TIAS,498,108,0.027777777777777776,0.009259259259259259,0.06481481481481481,0.8981481481481481
TIAS,499,60,0.0,0.0,0.03333333333333333,0.9666666666666667
TMATH,105,57,0.12280701754385964,0.0,0.10526315789473684,0.7719298245614035
TMATH,106,10,0.2,0.1,0.7,0.0
TMATH,109,62,0.08064516129032258,0.11290322580645161,0.1774193548387097,0.6290322580645161
TMATH,110,2782,0.06721782890007189,0.052839683680805175,0.20632638389647737,0.6736161035226456
TMATH,115,884,0.1504524886877828,0.1165158371040724,0.2658371040723982,0.4671945701357466
